Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7500150087050489,0.6174128756051694,0.8404226349327378,0.7118604973012871,0.8754618578734161
Random Forest,0.9973584679113886,0.9965676927267775,0.9962420347475628,0.9964048371282275,0.9997362623737877
Extra Trees,0.9975385723719757,0.9967857921115711,0.9965143510702031,0.9966500531089141,0.9999869295057036
